domain,riskScore,riskLevel,products,ageDays,contactEmail,topIssues
feetoesshoes.com,90,High,57,2188,,"No/thin refund policy (HIGH); No public contact email (HIGH); 47 product(s) with fake compare-at pricing (HIGH); Fake urgency/scarcity on storefront (MED)"
nidhicookware.com,83,High,33,87,,"No/thin refund policy (HIGH); No public contact email (HIGH); 2 product(s) with fake compare-at pricing (HIGH); Many products missing descriptions (MED)"
colorbarcosmetics.com,71,High,218,318,support@colorbarcosmetics.com,"No/thin refund policy (HIGH); 1 product(s) with fake compare-at pricing (HIGH); 4 product image(s) under 500px (MED); Many products missing descriptions (MED)"
kochenessential.com,68,High,250,1869,,"No public contact email (HIGH); 2 product(s) with fake compare-at pricing (HIGH); Fake urgency/scarcity on storefront (MED); 3 product image(s) under 500px (MED)"
organity.in,60,High,28,1073,,"No public contact email (HIGH); 2 product(s) with fake compare-at pricing (HIGH); Fake urgency/scarcity on storefront (MED)"
docsneakers.in,60,High,28,1438,,"No public contact email (HIGH); 2 product(s) with fake compare-at pricing (HIGH); Fake urgency/scarcity on storefront (MED)"
saikostationery.com,60,High,250,957,,"No public contact email (HIGH); 3 product(s) with fake compare-at pricing (HIGH); Fake urgency/scarcity on storefront (MED)"
kohveyewear.com,60,High,246,3063,,"No public contact email (HIGH); 33 product(s) with fake compare-at pricing (HIGH); Fake urgency/scarcity on storefront (MED)"
karghaindia.in,55,High,134,1039,xxx@xxx.xxx,"No/thin refund policy (HIGH); 36 product(s) with fake compare-at pricing (HIGH)"
skinluv.in,53,High,162,2214,,"No public contact email (HIGH); 9 product(s) with fake compare-at pricing (HIGH); 2 product image(s) under 500px (MED)"
zishta.com,53,High,250,1583,,"No public contact email (HIGH); 162 product(s) with fake compare-at pricing (HIGH); 4 product image(s) under 500px (MED)"
shop-ourkids.com,53,High,250,1208,,"No public contact email (HIGH); 2 product(s) with fake compare-at pricing (HIGH); 2 product image(s) under 500px (MED)"
nicheshoe.in,53,High,157,2449,,"No public contact email (HIGH); 28 product(s) with fake compare-at pricing (HIGH); 1 product image(s) under 500px (MED)"
talentedfriendsboutique.com,53,High,250,3121,,"No public contact email (HIGH); 19 product(s) with fake compare-at pricing (HIGH); 2 product image(s) under 500px (MED)"
gossamergear.com,53,High,131,3563,,"No public contact email (HIGH); 4 product(s) with fake compare-at pricing (HIGH); 1 product image(s) under 500px (MED)"
shop.kettlesyard.co.uk,53,High,231,3013,,"No public contact email (HIGH); 49 product(s) with fake compare-at pricing (HIGH); 2 product image(s) under 500px (MED)"
beeshop.ltd,53,High,250,2262,,"No public contact email (HIGH); 3 product(s) with fake compare-at pricing (HIGH); 9 product image(s) under 500px (MED)"
